Action_Frame,Latency
526,0.14583333333333334
779,0.14583333333333334
1025,0.15
1285,0.15416666666666667
1546,0.15416666666666667
1792,0.15416666666666667
2046,0.15
2317,0.15
2568,0.15
2834,0.15
3069,0.1375
3308,0.14166666666666666
3562,0.15
3816,0.15833333333333333
4069,0.15833333333333333
4300,0.15
4555,0.15
4786,0.15
5031,0.15
5287,0.1375
